Year,Male_Applicants,Female_Applicants,Male_Admits,Female_Admits
2001,7560,2930,968,819
2002,7699,2965,898,826
2003,7651,2898,885,850
2004,7669,2797,898,767
2005,7608,2832,758,736
2006,8157,3217,795,719
2007,8919,3526,813,740
2008,9464,3932,828,761
2009,10970,4693,864,812
2010,11615,5017,878,798
2011,14443,5466,891,851
2012,12718,5391,834,786
2013,13380,5609,808,740
2014,12765,5591,740,707
2015,12750,5556,780,739
2016,13131,5889,757,754
2017,13993,6254,734,718
2018,14689,7017,721,743
2019,14522,6790,703,724
2020,13528,6547,702,755
2021,21672,11568,665,700
2022,21588,12179,661,676
2023,16386,8669,607,617
2024,17210,8975,606,612
